# x1,x2,x3,class
0.667725670903,0.515215157085,0.298234094374,0
0.987444749779,0.881786583285,0.478620876558,1
0.71187244749,0.299050732124,0.196425687409,0
0.612823951296,0.844984614886,0.260428203488,1
0.75926243705,0.0859692301723,0.576313353871,0
0.125504702019,0.592410937196,0.862698374999,1
0.781603826415,0.10678796084,0.805176263052,1
0.711862747451,0.325000467519,0.488359883336,1
0.84021996088,0.786623486277,0.407109223941,1
0.668380673523,0.885760541846,0.807726643389,1
0.184799239197,0.00414386534023,0.291360277849,0
0.84913239653,0.551815917455,0.0683623534141,0
0.637796751187,0.644704023691,0.98417110139,1
0.237101148405,0.846867990033,0.758581495317,0
0.953656114624,0.56375389378,0.752860715113,1
0.888756955028,0.241213924436,0.0450872202474,0
0.027831011324,0.452223143703,0.556635734026,1
0.337966151865,0.364356837838,0.0764497081658,0
0.368521974088,0.367836076659,0.320384192102,0
0.919653478614,0.388772712031,0.826054720724,1
0.0334701338805,0.810224027939,0.320743303414,1
0.657062928252,0.0793168647429,0.289271012037,0
0.643082172329,0.0421233807229,0.276224401069,0
0.283361733447,0.321337221355,0.260802015263,0
0.773567094268,0.817467616958,0.00739143283013,1
0.18181252725,0.0838648462074,0.634302880541,0
0.451719106876,0.954718093252,0.767996791899,1
0.343472973892,0.594047802507,0.928831158181,1
0.404251917008,0.249567957762,0.647522996974,0
0.32890751563,0.936824679305,0.672035269111,1
0.97894751579,0.948290536792,0.503825570505,1
0.269612678451,0.764656909811,0.573504565394,0
0.582098228393,0.580923778859,0.154700073052,0
0.664799259197,0.789032482396,0.314240598579,1
0.743718374873,0.0822294809563,0.487887168446,1
0.67628750515,0.416713226858,0.464134120225,0
0.666291765167,0.111649454813,0.14184096799,0
0.048466993868,0.813906074852,0.967202366875,0
0.762163748655,0.471023393833,0.289714526008,1
0.235666442666,0.863249243645,0.0749409606403,1
0.444151676607,0.229665863668,0.581678222864,1
0.0186923747695,0.895949348379,0.225458201933,1
0.978178212713,0.713374363637,0.849612362789,1
